MAINTENANCE_AGENCY_ID,CUBE_ID,NAME,CODE,FRAMEWORK_ID,CUBE_STRUCTURE_ID,CUBE_TYPE,IS_ALLOWED,VALID_FROM,VALID_TO,VERSION,DESCRIPTION,PUBLISHED,DATASET_URL,FILTERS,DI_EXPORT
ECB,F_01_01_REF_FINREP_3_0,F_01_01_REF_FINREP_3_0,,FINREP_REF,F_01_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_01_02_REF_FINREP_3_0,F_01_02_REF_FINREP_3_0,,FINREP_REF,F_01_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_01_REF_FINREP_3_0,F_04_01_REF_FINREP_3_0,,FINREP_REF,F_04_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_02_1_REF_FINREP_3_0,F_04_02_1_REF_FINREP_3_0,,FINREP_REF,F_04_02_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_02_2_REF_FINREP_3_0,F_04_02_2_REF_FINREP_3_0,,FINREP_REF,F_04_02_2_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0,,FINREP_REF,F_04_03_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0,,FINREP_REF,F_04_04_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_05_REF_FINREP_3_0,F_04_05_REF_FINREP_3_0,,FINREP_REF,F_04_05_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_06_REF_FINREP_3_0,F_04_06_REF_FINREP_3_0,,FINREP_REF,F_04_06_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_07_REF_FINREP_3_0,F_04_07_REF_FINREP_3_0,,FINREP_REF,F_04_07_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0,,FINREP_REF,F_04_08_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0,,FINREP_REF,F_04_09_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0,,FINREP_REF,F_04_10_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_05_01_REF_FINREP_3_0,F_05_01_REF_FINREP_3_0,,FINREP_REF,F_05_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0,,FINREP_REF,F_06_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0,,FINREP_REF,F_07_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0,,FINREP_REF,F_07_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_08_01_a_REF_FINREP_3_0,F_08_01_a_REF_FINREP_3_0,,FINREP_REF,F_08_01_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_08_02_REF_FINREP_3_0,F_08_02_REF_FINREP_3_0,,FINREP_REF,F_08_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0,,FINREP_REF,F_09_01_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_09_01_REF_FINREP_3_0,F_09_01_REF_FINREP_3_0,,FINREP_REF,F_09_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_09_02_REF_FINREP_3_0,F_09_02_REF_FINREP_3_0,,FINREP_REF,F_09_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_13_01_REF_FINREP_3_0,F_13_01_REF_FINREP_3_0,,FINREP_REF,F_13_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0,,FINREP_REF,F_14_00_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0,,FINREP_REF,F_15_00_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0,,FINREP_REF,F_18_00_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0,,FINREP_REF,F_18_00_b_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_18_00_c_REF_FINREP_3_0,F_18_00_c_REF_FINREP_3_0,,FINREP_REF,F_18_00_c_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_18_00_d_REF_FINREP_3_0,F_18_00_d_REF_FINREP_3_0,,FINREP_REF,F_18_00_d_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_18_00_e_REF_FINREP_3_0,F_18_00_e_REF_FINREP_3_0,,FINREP_REF,F_18_00_e_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0,,FINREP_REF,F_19_00_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0,,FINREP_REF,F_19_00_b_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_19_00_c_REF_FINREP_3_0,F_19_00_c_REF_FINREP_3_0,,FINREP_REF,F_19_00_c_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_19_00_e_REF_FINREP_3_0,F_19_00_e_REF_FINREP_3_0,,FINREP_REF,F_19_00_e_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0,,FINREP_REF,F_20_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_20_02_REF_FINREP_3_0,F_20_02_REF_FINREP_3_0,,FINREP_REF,F_20_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0,,FINREP_REF,F_20_04_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_20_05_a_REF_FINREP_3_0,F_20_05_a_REF_FINREP_3_0,,FINREP_REF,F_20_05_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0,,FINREP_REF,F_20_06_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_20_07_1_REF_FINREP_3_0,F_20_07_1_REF_FINREP_3_0,,FINREP_REF,F_20_07_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_21_00_REF_FINREP_3_0,F_21_00_REF_FINREP_3_0,,FINREP_REF,F_21_00_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_31_01_REF_FINREP_3_0,F_31_01_REF_FINREP_3_0,,FINREP_REF,F_31_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0,,FINREP_REF,F_41_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
ECB,F_41_02_REF_FINREP_3_0,F_41_02_REF_FINREP_3_0,,FINREP_REF,F_41_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,