MAINTENANCE_AGENCY_ID,CUBE_STRUCTURE_ID,NAME,CODE,DESCRIPTION,VALID_FROM,VALID_TO,VERSION
ECB,F_01_01_REF_FINREP_3_0_cube_structure,F_01_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_01_02_REF_FINREP_3_0_cube_structure,F_01_02_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_01_REF_FINREP_3_0_cube_structure,F_04_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_02_1_REF_FINREP_3_0_cube_structure,F_04_02_1_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_02_2_REF_FINREP_3_0_cube_structure,F_04_02_2_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_05_REF_FINREP_3_0_cube_structure,F_04_05_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_06_REF_FINREP_3_0_cube_structure,F_04_06_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_07_REF_FINREP_3_0_cube_structure,F_04_07_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_08_REF_FINREP_3_0_cube_structure,F_04_08_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_09_REF_FINREP_3_0_cube_structure,F_04_09_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_06_01_REF_FINREP_3_0_cube_structure,F_06_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_07_01_REF_FINREP_3_0_cube_structure,F_07_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_07_02_REF_FINREP_3_0_cube_structure,F_07_02_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_08_02_REF_FINREP_3_0_cube_structure,F_08_02_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_09_01_REF_FINREP_3_0_cube_structure,F_09_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_09_02_REF_FINREP_3_0_cube_structure,F_09_02_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_13_01_REF_FINREP_3_0_cube_structure,F_13_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_14_00_REF_FINREP_3_0_cube_structure,F_14_00_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_18_00_d_REF_FINREP_3_0_cube_structure,F_18_00_d_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_18_00_e_REF_FINREP_3_0_cube_structure,F_18_00_e_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_19_00_a_REF_FINREP_3_0_cube_structure,F_19_00_a_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_20_01_REF_FINREP_3_0_cube_structure,F_20_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_20_02_REF_FINREP_3_0_cube_structure,F_20_02_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_20_04_REF_FINREP_3_0_cube_structure,F_20_04_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_20_05_a_REF_FINREP_3_0_cube_structure,F_20_05_a_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_20_06_REF_FINREP_3_0_cube_structure,F_20_06_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_20_07_1_REF_FINREP_3_0_cube_structure,F_20_07_1_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_21_00_REF_FINREP_3_0_cube_structure,F_21_00_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_31_01_REF_FINREP_3_0_cube_structure,F_31_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_41_01_REF_FINREP_3_0_cube_structure,F_41_01_REF_FINREP_3_0_cube_structure,,,,,
ECB,F_41_02_REF_FINREP_3_0_cube_structure,F_41_02_REF_FINREP_3_0_cube_structure,,,,,